nodes_removed,lcc_size_ratio,global_efficiency_ratio
0,1.0,1.0
1,0.9997617913292044,0.9998135116463336
2,0.9995235826584088,0.9993452875974815
3,0.9985707479752263,1.000545387387393
4,0.9983325393044307,0.9995780280211913
5,0.9980943306336351,0.9981146938052485
6,0.9978561219628395,0.99777119068821
7,0.9945212005717008,1.0011974453073296
8,0.9942829919009052,1.0004323889495141
9,0.9940447832301096,1.0003264651667472
10,0.993806574559314,0.9987485661417392
11,0.9935683658885184,0.9983195540812336
12,0.9933301572177228,0.9984232296130225
13,0.9930919485469271,0.9985016552429437
14,0.9926155312053359,0.9991319450020183
15,0.9923773225345403,0.9979495415481998
16,0.9921391138637446,0.9919917352571823
17,0.991900905192949,0.9915037211848496
18,0.9916626965221534,0.9913754105710811
19,0.9914244878513578,0.9914148910425163
20,0.9911862791805621,0.991055887223536
21,0.9909480705097665,0.9905232661582721
22,0.9907098618389709,0.9902556347234186
23,0.9904716531681753,0.9896507907017043
24,0.9902334444973797,0.9895138888418304
25,0.9899952358265841,0.9893290852814611
26,0.9897570271557885,0.9885183183937787
27,0.9895188184849929,0.9879406180397783
28,0.9892806098141972,0.98768393155439
29,0.9890424011434016,0.9876745735209607
30,0.988804192472606,0.9876833544643897
31,0.9885659838018104,0.9874074304125593
32,0.9883277751310148,0.9873871235696842
33,0.986898523106241,0.9880171028609395
34,0.9866603144354454,0.9876713187315765
35,0.9864221057646498,0.9873197593698994
36,0.9861838970938542,0.9867551887339698
37,0.9854692710814673,0.9877736917649549
38,0.9852310624106717,0.9869984683513268
39,0.9849928537398761,0.9855990830677072
40,0.9847546450690805,0.9840983393666524
41,0.9845164363982849,0.9838670778296994
42,0.9842782277274893,0.9834796276156468
43,0.9840400190566937,0.9834847067708085
44,0.9838018103858981,0.9821195247534653
45,0.9835636017151024,0.9819422981062101
46,0.9833253930443068,0.9818493186461033
47,0.9830871843735112,0.982074335469055
48,0.9828489757027156,0.9821815940457516
49,0.98261076703192,0.9810494745534255
50,0.9823725583611244,0.9809752286785628
51,0.9771319676036208,0.9864841575582025
52,0.9768937589328252,0.9825855701027989
53,0.9766555502620295,0.982348382754346
54,0.976417341591234,0.9823383501059687
55,0.9761791329204383,0.9824975311259906
56,0.9759409242496427,0.981717769126733
57,0.975702715578847,0.9810078192382555
58,0.9754645069080514,0.980236616842789
59,0.9752262982372558,0.9801984393721931
60,0.9749880895664602,0.9792037753261491
61,0.974511672224869,0.9797249634571825
62,0.9742734635540734,0.9787674335765204
63,0.9740352548832778,0.9776589938720599
64,0.9737970462124821,0.977754895940732
65,0.9735588375416865,0.9775367153735955
66,0.9733206288708909,0.9775601540113816
67,0.9730824202000953,0.9768223801441972
68,0.9728442115292997,0.9750561587687655
69,0.9726060028585041,0.9743934834545169
70,0.9721295855169129,0.9741119002066353
71,0.9718913768461171,0.9736880823461815
72,0.9716531681753215,0.9736068231859822
73,0.9714149595045259,0.9733529558538281
74,0.9709385421629347,0.9527202593421514
75,0.9707003334921391,0.9516236334156649
76,0.9704621248213435,0.9514600012076747
77,0.9699857074797522,0.9504658599621167
78,0.9697474988089566,0.9505248680347386
79,0.969509290138161,0.950670135657288
80,0.9692710814673654,0.949879129295799
81,0.9690328727965698,0.9502081674213819
82,0.9656979514054311,0.9524202241719155
83,0.9654597427346355,0.9524130783596751
84,0.9649833253930443,0.9510430049967359
85,0.9647451167222487,0.9508083450172592
86,0.9645069080514531,0.9471131363801016
87,0.9642686993806574,0.946061397990751
88,0.9640304907098618,0.9458996694899783
89,0.9637922820390662,0.944118511597693
90,0.963315864697475,0.9446476189643397
91,0.9630776560266794,0.9448650600805929
92,0.9628394473558838,0.9436472220945437
93,0.9626012386850882,0.9433781656690563
94,0.9595045259647451,0.9453724344320164
95,0.9592663172939495,0.9435252422020403
96,0.9590281086231539,0.9435265736474603
97,0.9587898999523583,0.9428387607829858
98,0.9585516912815627,0.9408116957389568
99,0.9578370652691758,0.9409463090252842
100,0.9575988565983802,0.9402802156914016
101,0.9573606479275846,0.939930306850246
102,0.957122439256789,0.939470323787461
103,0.9568842305859934,0.9390846850375035
104,0.9547403525488328,0.9414169299477589
105,0.9545021438780371,0.9399225638314405
106,0.9542639352072415,0.9375075184323637
107,0.9540257265364459,0.936860106364746
108,0.9537875178656503,0.9364417145146048
109,0.9535493091948547,0.9362733942805969
110,0.9487851357789423,0.9406643350733517
111,0.9485469271081467,0.939731126521882
112,0.9483087184373511,0.9387632210447988
113,0.9480705097665555,0.9384034365958077
114,0.9478323010957599,0.9376270654186455
115,0.9475940924249643,0.9365360792925254
116,0.9473558837541687,0.935575520799338
117,0.9471176750833731,0.9342311608161559
118,0.9468794664125774,0.9343391211050542
119,0.9466412577417818,0.933382872842025
120,0.9464030490709862,0.9319118610299524
121,0.9461648404001906,0.9318680006603882
122,0.945926631729395,0.9306444833045944
123,0.9454502143878037,0.9312270042699223
124,0.9452120057170081,0.9282988938988701
125,0.9449737970462124,0.9261007074750723
126,0.9447355883754168,0.9255333087625045
127,0.9444973797046212,0.9241047592339181
128,0.9442591710338256,0.9240441845494108
129,0.9437827536922344,0.9244648123535207
130,0.9435445450214388,0.9236331002215835
131,0.9433063363506432,0.9236404654026504
132,0.9430681276798476,0.9237311665581134
133,0.9428299190090519,0.9222835309143556
134,0.9425917103382563,0.9224236062243976
135,0.9423535016674607,0.9218906245306874
136,0.9421152929966651,0.9205183688519657
137,0.9418770843258695,0.9163017809114904
138,0.9416388756550739,0.9155689148589852
139,0.9414006669842783,0.9145097328547237
140,0.9411624583134827,0.9138692062325121
141,0.940924249642687,0.9140933214379433
142,0.9406860409718913,0.8876616359861487
143,0.9404478323010957,0.8875460527778718
144,0.9402096236303001,0.8874790667409959
145,0.9399714149595045,0.887412790362234
146,0.9397332062887089,0.8869351543799232
147,0.9394949976179133,0.8870509803661198
148,0.9392567889471177,0.8863888957332083
149,0.939018580276322,0.886603094757793
150,0.9387803716055264,0.8864046717415099
151,0.9385421629347308,0.886473060458129
152,0.9383039542639352,0.8862166834934486
153,0.937827536922344,0.8854630588351368
154,0.9375893282515484,0.8843344303568794
155,0.9373511195807528,0.8769876076742387
156,0.9359218675559791,0.8785299055887829
157,0.9356836588851835,0.8785002739386525
158,0.9354454502143879,0.8779619593171276
159,0.9352072415435921,0.8776625317589427
160,0.9349690328727965,0.877583813667942
161,0.9347308242020009,0.8762896800000215
162,0.9344926155312053,0.8765017889417562
163,0.9342544068604097,0.8764539218790399
164,0.9144830871843735,0.8989210237307109
165,0.9142448785135779,0.8961154544747187
166,0.9140066698427822,0.8951075765368129
167,0.9137684611719866,0.8937344677866104
168,0.913530252501191,0.8934827877118167
169,0.9132920438303954,0.8924647000718543
170,0.9132920438303954,0.8924647000718543
171,0.9128156264888042,0.8931523956550127
172,0.9125774178180086,0.892621768744885
173,0.9125774178180086,0.892621768744885
174,0.912339209147213,0.8917691431991781
175,0.9121010004764173,0.8912047505214412
176,0.9118627918056217,0.8913318210135219
177,0.9116245831348261,0.8913152628684483
178,0.9113863744640305,0.8915074889371954
179,0.9111481657932349,0.8912257012006972
180,0.9104335397808481,0.892119548024154
181,0.9101953311100524,0.892066176637299
182,0.9099571224392567,0.8911424326069551
183,0.9097189137684611,0.8910372621557497
184,0.9080514530728918,0.89140521044897
185,0.9070986183897094,0.8924107631974931
186,0.9068604097189138,0.8922207645818118
187,0.9061457837065269,0.8927372686598164
188,0.9059075750357313,0.891581112649524
189,0.9059075750357313,0.891581112649524
190,0.9056693663649357,0.8889231332266704
191,0.9054311576941401,0.8883706624458869
192,0.9051929490233445,0.8883713127058155
193,0.9049547403525489,0.8878338599126918
194,0.9047165316817533,0.8873649945678541
195,0.9037636969985707,0.8872168372093177
196,0.9032872796569795,0.8850302227780183
197,0.9030490709861839,0.8832611717138975
198,0.9028108623153883,0.8834573202598806
199,0.9025726536445927,0.8811372166123226
200,0.902334444973797,0.8802007341714663
201,0.901143401619819,0.8796330462911007
202,0.9009051929490234,0.8790735658465738
203,0.9006669842782278,0.8783719194238654
204,0.9004287756074321,0.8767842184940957
205,0.9001905669366365,0.8759415181359648
206,0.8999523582658409,0.8755984795438673
207,0.8997141495950453,0.8755841540974205
208,0.8994759409242497,0.8743211693208536
209,0.899237732253454,0.8739631873368671
210,0.8987613149118628,0.8744581122507412
