run_id,seed,nodes_removed,lcc_size_ratio,global_efficiency_ratio
1,42,0,1.0,1.0
1,42,1,0.9985707479752263,0.9560133067405573
1,42,2,0.9983325393044307,0.9147217656899398
1,42,3,0.9980943306336351,0.9896074793404938
1,42,4,0.9978561219628395,0.9852493872371565
1,42,5,0.9976179132920439,0.9411455005087633
1,42,6,0.9973797046212483,0.9832288998035519
1,42,7,0.9971414959504526,0.969511486468468
1,42,8,0.9969032872796569,0.92963238106833
1,42,9,0.9966650786088613,0.9740170361255869
1,42,10,0.9933301572177228,0.9652380829563106
1,42,11,0.9930919485469271,0.9411744085852133
1,42,12,0.9928537398761315,0.958602032958446
1,42,13,0.9926155312053359,0.9492275335156583
1,42,14,0.9923773225345403,0.9929692921095215
1,42,15,0.9921391138637446,0.9308756819943658
1,42,16,0.991900905192949,0.9440375386721905
1,42,17,0.9916626965221534,1.0043123993647467
1,42,18,0.9914244878513578,0.9367124048307576
1,42,19,0.9911862791805621,0.9299926677155016
1,42,20,0.9909480705097665,0.9581235862872042
1,42,21,0.9907098618389709,0.9201313932872599
1,42,22,0.9904716531681753,0.9492668666125034
1,42,23,0.9902334444973797,0.9757446756951751
1,42,24,0.9899952358265841,0.9511679012096338
1,42,25,0.9883277751310148,0.9271644661595709
1,42,26,0.9880895664602192,0.9001056533437519
1,42,27,0.9878513577894236,0.9722081119709944
1,42,28,0.987613149118628,0.9466733777184496
1,42,29,0.9873749404478323,0.9251687790185881
1,42,30,0.9871367317770366,0.9518952833066471
1,42,31,0.986898523106241,0.9280892642228877
1,42,32,0.9866603144354454,0.9296760520126842
1,42,33,0.9864221057646498,0.9339334798292924
1,42,34,0.9861838970938542,0.9189988065629373
1,42,35,0.9859456884230586,0.9542395817732628
1,42,36,0.985707479752263,0.9374929943779472
1,42,37,0.9854692710814673,0.8979145430263806
1,42,38,0.9852310624106717,0.9474022800616848
1,42,39,0.9849928537398761,0.9296737870020964
1,42,40,0.9847546450690805,0.8960462953629811
1,42,41,0.9845164363982849,0.9018229156299016
1,42,42,0.9842782277274893,0.9085963042255055
1,42,43,0.9840400190566937,0.9108698245119147
1,42,44,0.9838018103858981,0.9460350652757284
1,42,45,0.9835636017151024,0.9334212511180775
1,42,46,0.9833253930443068,0.9680759295802588
1,42,47,0.9830871843735112,0.9527517091421033
1,42,48,0.9828489757027156,0.9241727555427581
1,42,49,0.9790376369699857,0.959727878299671
1,42,50,0.9787994282991901,1.0055126408659014
2,43,0,1.0,1.0
2,43,1,0.9997617913292044,0.981112118929746
2,43,2,0.9995235826584088,1.0353234620172231
2,43,3,0.9992853739876132,1.0135128173891548
2,43,4,0.9990471653168176,0.9656361264461544
2,43,5,0.9988089566460219,1.0293201205685902
2,43,6,0.9985707479752263,0.9734557652802425
2,43,7,0.9983325393044307,0.9690872423449013
2,43,8,0.9980943306336351,1.0029718402132344
2,43,9,0.9978561219628395,0.9875507595338765
2,43,10,0.9976179132920439,1.0026603655923942
2,43,11,0.9973797046212483,0.9864491236318897
2,43,12,0.9971414959504526,0.9868688128329516
2,43,13,0.9969032872796569,0.979016025500954
2,43,14,0.9966650786088613,0.9509488998340219
2,43,15,0.9964268699380657,0.9330377521256197
2,43,16,0.9961886612672701,1.0312131121425863
2,43,17,0.9959504525964745,0.9929419094587104
2,43,18,0.9957122439256789,0.9754865623564274
2,43,19,0.9945212005717008,0.999731198725783
2,43,20,0.9942829919009052,0.9569500487750655
2,43,21,0.9940447832301096,0.9884105202872407
2,43,22,0.9935683658885184,1.020366101588352
2,43,23,0.9933301572177228,1.0039098688278802
2,43,24,0.9930919485469271,0.9718106616342247
2,43,25,0.9928537398761315,0.9592140358519982
2,43,26,0.9926155312053359,0.9678154818297475
2,43,27,0.9923773225345403,0.9846703279538678
2,43,28,0.9911862791805621,0.9607239376425522
2,43,29,0.9909480705097665,1.0038536092863446
