nodes_removed,lcc_size_ratio,global_efficiency_ratio
0,1.0,1.0
1,0.9995235826584088,0.9729726251380074
2,0.9978561219628395,0.9683303704919478
3,0.9976179132920439,0.9642533737468104
4,0.9973797046212483,0.9577097147431765
5,0.9971414959504526,0.9573079252432402
6,0.9942829919009052,0.9525206860843032
7,0.9935683658885184,0.9422780496978947
8,0.9933301572177228,0.9325410676536754
9,0.9930919485469271,0.9138438590693866
10,0.9928537398761315,0.9129784898720638
11,0.9926155312053359,0.9086756959408293
12,0.9921391138637446,0.8844603131849166
13,0.991900905192949,0.87165602702209
14,0.9916626965221534,0.8708370182698673
15,0.9914244878513578,0.8683186977766307
16,0.9873749404478323,0.8728246127326605
17,0.986898523106241,0.8712642937989555
18,0.986898523106241,0.8712642937989555
19,0.9866603144354454,0.8684263152909076
20,0.9854692710814673,0.8663421244593938
21,0.9852310624106717,0.8662824158608544
22,0.9852310624106717,0.8662824158608544
23,0.9849928537398761,0.8636575760773963
24,0.9847546450690805,0.8609306862484343
25,0.9845164363982849,0.8576149200303951
26,0.9842782277274893,0.8553960315127962
27,0.9840400190566937,0.8535060793564979
28,0.9838018103858981,0.8538339064684157
29,0.9818961410195332,0.8553819246689757
30,0.9816579323487374,0.8487715473664842
31,0.9816579323487374,0.8487715473664842
32,0.9814197236779418,0.8475626198884116
33,0.9811815150071462,0.8441031396184674
34,0.980705097665555,0.8447092293872095
35,0.9804668889947594,0.840528752178774
36,0.9792758456407813,0.8423204410141664
37,0.9790376369699857,0.8363629130845286
38,0.9790376369699857,0.8363629130845286
39,0.9787994282991901,0.8344561008465391
40,0.9785612196283945,0.8216385127601584
41,0.9783230109575989,0.821285372982993
42,0.9780848022868033,0.8208633533770139
43,0.977608384945212,0.820235355433615
44,0.9773701762744164,0.8191084794084992
45,0.9754645069080514,0.8209200916917082
46,0.9754645069080514,0.8209200916917082
47,0.9752262982372558,0.8192370462068342
48,0.9749880895664602,0.8194511602704349
49,0.9747498808956646,0.816325505849534
50,0.974511672224869,0.8150815953120656
