nodes_removed,repetitions,lcc_size_ratio_mean,lcc_size_ratio_std,global_efficiency_ratio_mean,global_efficiency_ratio_std,lcc_size_ratio_q05,lcc_size_ratio_q95,global_efficiency_ratio_q05,global_efficiency_ratio_q95
0,30,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1,30,0.9996109258377005,0.0005612114746750641,0.9990601458287268,0.043151397836295444,0.9988923296808004,0.9997617913292044,0.9461371736629101,1.0691946210943561
2,30,0.9993250754327457,0.0005384356687831944,0.9950925974288345,0.03842552882685184,0.9985469271081467,0.9995235826584088,0.9220068873445526,1.0425767690461296
3,30,0.9989280609814197,0.0007500280251577247,0.9899670714160415,0.03454161280385109,0.9973082420200096,0.9992853739876132,0.938604203098581,1.0492972091318375
4,30,0.9986183897093854,0.0008141984431782704,0.9940204101476803,0.037550531477782395,0.9966412577417818,0.9990471653168176,0.9354078661319789,1.0604982098398341
5,30,0.9982213752580594,0.0010555838105039943,0.9910723234674726,0.040137688792490876,0.995926631729395,0.9988089566460219,0.9332881681034898,1.0548979297417573
6,30,0.9979593457201842,0.0010517769926946595,0.9909098684800627,0.034143195378674045,0.9956884230585994,0.9985707479752263,0.9249202661654864,1.0401839355803564
7,30,0.9975940924249643,0.0010659442220005292,0.9883752997868986,0.04366497326321227,0.9954502143878038,0.9983325393044307,0.9194167885795628,1.0469206359039052
8,30,0.9973320628870891,0.001105679040886501,0.9864199802377699,0.04583246170752827,0.9951048118151501,0.9980943306336351,0.9095004887814397,1.0542667731211743
9,30,0.9969509290138162,0.0013157734649534506,0.9888913203850832,0.039264975627219575,0.994235350166746,0.9978561219628395,0.9259435822132908,1.0569707362617444
10,30,0.9965062728283309,0.0014269685083372233,0.9862844657307522,0.03719035162889019,0.9934373511195808,0.9976179132920439,0.9218869675932001,1.0362971487268269
11,30,0.9962442432904558,0.001438372510415658,0.9847807747798135,0.035932133429136016,0.9931991424487852,0.9973797046212483,0.9226622419757566,1.027788444293677
12,30,0.9959028108623154,0.001541739354722727,0.9880057593400438,0.041640194567710384,0.9929609337779894,0.9971414959504526,0.9210719511684845,1.039121626205313
13,30,0.9956407813244401,0.0015363360831016559,0.9818776458364897,0.03519870340858387,0.9927227251071938,0.9969032872796569,0.927129146123873,1.0281384874493067
