node_id,lat,lon,stop_count,in_degree_weighted,out_degree_weighted,betweenness,closeness,eigenvector
0,20.675700000000003,-103.3042,3,4,4,0.0032962562686226085,0.029558374378319784,7.356049573020379e-20
1,20.67599,-103.307245,2,2,2,0.0020257070317452348,0.02863210511114169,1.2676048239892071e-20
2,20.676805,-103.309985,2,2,2,0.0020250838941477294,0.02774912436615524,2.1868692473157486e-21
3,20.68011,-103.32091,2,2,2,0.0005130121893644914,0.0288543457182746,3.883141979945762e-21
4,20.6808,-103.32307499999999,2,3,3,0.0007281646071213751,0.0318396707521066,1.597284037356487e-16
5,20.681016666666665,-103.32595666666667,3,4,5,0.001784920999181877,0.032823337373027374,4.6536875555078976e-15
6,20.6815925,-103.351035,4,3,4,0.005451066080796474,0.03577412305304389,6.496723502487173e-12
7,20.681729090909094,-103.3456309090909,11,8,9,0.007157830518885167,0.03358632203620895,3.738789370746328e-12
8,20.67917,-103.31454,2,2,3,0.002042163529206629,0.03070258619727767,1.952156456378535e-17
9,20.678615,-103.3127475,4,4,5,0.02557067224423911,0.031802996405692396,3.672539991414403e-18
10,20.677077,-103.30754666666667,3,3,3,0.0020120829779088655,0.02971330977770568,1.8347007078462807e-18
11,20.675310000000003,-103.301845,2,2,2,0.001231631461469533,0.02890603636786816,1.046355705435708e-20
12,20.673887999999998,-103.29571800000001,5,5,5,0.019731198834030246,0.03090541837891398,4.388268619205627e-21
13,20.675335454545454,-103.27425,11,6,6,0.00589490999683786,0.02661634910807054,2.727308192340332e-23
14,20.661245714285712,-103.36100571428572,7,8,7,0.018056737471337087,0.03385647536802711,7.71515545798881e-08
15,20.680045,-103.359285,2,2,2,0.001989508402217418,0.03650328464501556,1.181753734082452e-10
16,20.6834,-103.35917,2,2,2,0.001527253602613371,0.034782907468304085,1.0378569737811842e-11
17,20.686525,-103.35908,2,2,2,0.0012504672115759478,0.03351820594283464,9.046024398747461e-13
18,20.68957,-103.35884,1,1,1,0.000679956416623453,0.03226057409612583,7.884827105055152e-14
19,20.693346666666667,-103.35839666666668,3,4,3,0.001507029955130694,0.03223555596137417,1.0520950123153396e-14
20,20.696115,-103.35817,2,2,2,0.0008630738969813062,0.03176933514073579,3.0692275834949958e-15
21,20.698615,-103.35793000000001,2,2,2,0.0012482295811121781,0.03260058969770183,2.4686975321219335e-14
22,20.70101,-103.35766,3,3,4,0.0053315369598204276,0.035748492318053285,7.479815595931959e-14
23,20.73916,-103.362375,4,5,5,0.015969742024433565,0.029641528917500708,2.0643381101979416e-19
24,20.653094285714285,-103.37229428571428,7,6,8,0.007483401030624267,0.03217690591694998,6.137641250029828e-06
25,20.611656666666665,-103.38135333333332,3,3,3,0.0013995103951247527,0.030043380422365856,9.361905246379344e-10
26,20.65503,-103.37306000000001,2,2,2,0.0018145483594996363,0.031189126456924145,1.0286274284660627e-06
27,20.658685,-103.368245,2,3,3,0.0038387825205598585,0.03211404186717852,2.276481730510968e-09
28,20.62066,-103.405035,2,2,2,0.0006136772357978727,0.02847277712761392,5.39386999980876e-10
29,20.62284,-103.403645,2,2,2,0.00036714134267571433,0.027826337776287534,3.1957659267117493e-09
30,20.62566,-103.4029,2,2,2,0.0003704553017169933,0.027343290136797083,3.621401047199997e-08
31,20.628300000000003,-103.402535,2,3,3,0.0009669396047109655,0.027175779151415412,4.132386425957542e-07
32,20.62031,-103.40717,3,3,3,0.0031922206142754477,0.02938527748203334,3.108767010189154e-09
33,20.639566666666667,-103.39161333333334,3,3,3,0.00487721300236645,0.030638148531919665,1.2640395413301902e-07
34,20.64108166666667,-103.38977166666666,6,7,7,0.01097319817214482,0.03152388027774256,3.1627951076916414e-07
35,20.64536,-103.38276333333333,3,4,3,0.002509998242751975,0.03273135874066099,3.3229041385109316e-08
36,20.646735999999997,-103.38008400000001,5,6,5,0.01132722530083667,0.0338485245037883,1.0281912583792607e-07
37,20.747889999999998,-103.34960000000001,2,1,1,0.0,0.024678979898634983,2.5587234324668463e-24
38,20.747555,-103.347985,2,2,2,0.000469562504156611,0.025268025496868084,2.7727785104169965e-23
39,20.74513166666667,-103.34627333333333,6,8,8,0.02248676993907187,0.025908142274610677,3.0145581016420766e-22
40,20.74477,-103.34855999999999,2,2,2,0.0007318467838339073,0.02532304283275155,3.0396001523382716e-23
41,20.7446775,-103.35007,4,4,4,0.0010119188094763593,0.024884246498642574,3.143222832628399e-23
42,20.745005,-103.351395,4,4,4,0.0006566170811532487,0.02452334359178676,6.039409771789892e-24
43,20.74476,-103.35389,1,1,1,0.0,0.02421038715395947,1.1207677941460822e-25
44,20.60628485714286,-103.40110421428572,28,21,23,0.25790967435471174,0.03406898391126026,0.0007635384873620382
45,20.613303600000002,-103.395818,5,7,9,0.21587106535342493,0.03448910070031761,7.824734618983378e-05
