nodes_removed,lcc_size_ratio,global_efficiency_ratio
0,1.0,1.0
1,0.9997617913292044,1.0001352435603015
2,0.9995235826584088,0.9997140748248415
3,0.9992853739876132,0.9993669960165872
4,0.9990471653168176,0.9976554626502571
5,0.9988089566460219,0.9976462689924456
6,0.9985707479752263,0.9976087987140674
7,0.9983325393044307,0.9970649677938747
8,0.9980943306336351,0.9966852861679392
9,0.9978561219628395,0.9934511972744372
10,0.9976179132920439,0.9934554257895352
11,0.9964268699380657,0.9947364437159044
12,0.9952358265840877,0.996155558866458
13,0.994997617913292,0.9961996413194446
14,0.9947594092424964,0.9955398428599945
15,0.9945212005717008,0.994748435570017
16,0.9942829919009052,0.9943489667195788
17,0.9940447832301096,0.9939027403170991
18,0.993806574559314,0.9937674672172498
19,0.9923773225345403,0.9946075400424466
20,0.9921391138637446,0.9941570062171545
21,0.991900905192949,0.994086940098191
22,0.9916626965221534,0.9941278530549961
23,0.9914244878513578,0.991123921215862
24,0.9911862791805621,0.9899432028489843
25,0.9909480705097665,0.9880750762092656
26,0.9907098618389709,0.9870890581281861
27,0.9904716531681753,0.9864808807000525
28,0.9902334444973797,0.9863336662409076
29,0.986898523106241,0.9896046408381154
30,0.9866603144354454,0.9883241668534857
31,0.9864221057646498,0.9883060087487912
32,0.9861838970938542,0.9843044041604435
33,0.9859456884230586,0.9830053761256071
34,0.985707479752263,0.9827585201209549
35,0.9854692710814673,0.982838999221715
36,0.9852310624106717,0.9819838866426415
37,0.9849928537398761,0.9818714481785891
38,0.9847546450690805,0.9815964945002457
39,0.9845164363982849,0.9812111076955413
40,0.9842782277274893,0.9812554314010009
41,0.9840400190566937,0.9806531251420236
42,0.9838018103858981,0.9804791107501524
43,0.9835636017151024,0.9803863687763952
44,0.9833253930443068,0.9777146788422456
45,0.9830871843735112,0.9770639257060932
46,0.9828489757027156,0.9767158483985953
47,0.98261076703192,0.9762434976533135
48,0.9823725583611244,0.9757742173847619
49,0.9821343496903288,0.9619051879005674
50,0.9818961410195332,0.9616874284942197
51,0.9816579323487374,0.9609932461019117
52,0.9814197236779418,0.960673286353619
53,0.9811815150071462,0.9607652041765896
54,0.9809433063363506,0.9606245800809463
55,0.980705097665555,0.9608264595629165
56,0.9804668889947594,0.9601899913644515
57,0.9802286803239638,0.9597516176155788
58,0.9799904716531682,0.9592970529875118
59,0.9797522629823726,0.958940228334792
60,0.9795140543115769,0.9582600196426563
61,0.9792758456407813,0.9577749065165091
62,0.9790376369699857,0.9580236121380421
63,0.9787994282991901,0.9579218007190079
64,0.9785612196283945,0.9573270118661507
65,0.9783230109575989,0.9570571882910333
66,0.9780848022868033,0.9566144295197271
67,0.9778465936160077,0.954727534004512
68,0.977608384945212,0.9539132192618794
69,0.9773701762744164,0.9528892845552573
70,0.9771319676036208,0.9513063837407586
71,0.9768937589328252,0.9508002501827363
72,0.9761791329204383,0.9513331282952037
73,0.9759409242496427,0.9510474329353832
74,0.975702715578847,0.9484629555228551
75,0.9754645069080514,0.9459316273944772
76,0.9752262982372558,0.9449283787109707
77,0.9749880895664602,0.9442246940486646
78,0.9747498808956646,0.943896853247072
79,0.974511672224869,0.9427585980111456
80,0.9742734635540734,0.9419761557796372
81,0.9740352548832778,0.9419513743585901
82,0.9737970462124821,0.941873496115388
83,0.9735588375416865,0.9419122967057385
84,0.9733206288708909,0.9418347722199464
85,0.9730824202000953,0.941962392765671
86,0.9728442115292997,0.9415275519646983
87,0.9726060028585041,0.9384102359318464
88,0.9723677941877085,0.938431500686744
89,0.9721295855169129,0.93841283628038
90,0.9718913768461171,0.9381735949312126
91,0.9673654121010005,0.9429426264802807
92,0.9671272034302049,0.9419198583937167
93,0.9668889947594093,0.9419879284744705
94,0.9666507860886137,0.941647128243034
95,0.9654597427346355,0.9426576973969654
96,0.9652215340638399,0.9409687476365797
97,0.9649833253930443,0.940832257549789
98,0.9647451167222487,0.940675504166905
99,0.9645069080514531,0.9405993056609763
100,0.9642686993806574,0.9401700285369071
101,0.9640304907098618,0.9395611325424003
102,0.9637922820390662,0.9391534474564955
103,0.9635540733682706,0.9388260403214251
104,0.963315864697475,0.939014942691369
105,0.9630776560266794,0.9389992538056711
106,0.9628394473558838,0.9388596690853385
107,0.9626012386850882,0.9380439793165365
108,0.9621248213434969,0.9371297596107582
109,0.9618866126727013,0.9370123023078413
110,0.9616484040019057,0.9368720323677749
111,0.96141019533111,0.936275274582739
112,0.9611719866603144,0.9357832526061511
113,0.9609337779895188,0.9350628529060485
114,0.9602191519771319,0.9359943518325029
115,0.9599809433063363,0.9335067795001314
116,0.9597427346355407,0.9336519982009053
117,0.9595045259647451,0.9328559983534369
118,0.9592663172939495,0.9331622376335249
119,0.9590281086231539,0.9317398738501048
120,0.9580752739399714,0.9314400939008544
121,0.9578370652691758,0.9317015611598728
122,0.9575988565983802,0.9314303860225669
123,0.956407813244402,0.9323535570372173
124,0.9556931872320152,0.9327734134105423
125,0.955216769890424,0.9326807239385397
126,0.9549785612196284,0.9298878781551192
127,0.9547403525488328,0.9296105846418613
128,0.9545021438780371,0.929103602896748
129,0.9542639352072415,0.9292761989436326
130,0.9540257265364459,0.927503933106393
131,0.9537875178656503,0.9268873112821677
132,0.9535493091948547,0.9260294844307548
133,0.9533111005240591,0.9255752349320383
134,0.9530728918532635,0.9251647459965995
135,0.9528346831824679,0.9228823358737773
136,0.9525964745116722,0.921113959082529
137,0.9523582658408766,0.9204936651628951
138,0.952120057170081,0.9201343627233566
139,0.9518818484992854,0.919924190771107
140,0.9516436398284898,0.9196716067892114
141,0.9514054311576942,0.9196576840745184
