bloque,metrica,min,max,amplitud_abs,amplitud_pct_sobre_min,unidad
P3_L-space,Nodos,2676.0,5084.0,2408.0,89.98505231689087,nodos
P3_L-space,Aristas,6280.0,9550.0,3270.0,52.07006369426752,aristas
P3_L-space,Densidad,0.0003695538405505,0.0008773032703295,0.000507749429779,137.39525180488968,adimensional
P3_L-space,LCC,99.81315396113604,99.88103735427076,0.06788339313472136,0.06801046800019256,%
P3_P-space,Aristas route_only,15971.0,108041.0,92070.0,576.482374303425,aristas
P3_P-space,Route_only,8.730852913199874,20.858785552663893,12.127932639464019,138.90891027528616,%
P4_Intervenciones,LCC post-ataque,98.50710329882013,99.30170960751263,0.7946063086925079,0.8066487411390824,%
P4_Intervenciones,Retencion eficiencia post/pre,79.6757866604923,88.52183421418547,8.846047553693168,11.102554395085166,%
P4_Intervenciones,Diametro post-ataque,53.0,97.0,44.0,83.01886792452831,saltos
P4_Intervenciones,Delta LCC vs base,0.0,0.7946063086925221,0.7946063086925221,,pp
P4_Intervenciones,Delta eficiencia vs base,-0.0397779484149238,0.8113622301508981,0.8511401785658219,,pp
