scenario,added_edges,removed_edges,protected_hubs,nodes_removed_attack,nodes_pre,edges_pre,lcc_pre_pct,eff_pre,diameter_pre,nodes_post,edges_post,lcc_post_pct,eff_post,diameter_post,lcc_ratio_post_pre,eff_ratio_post_pre,diameter_delta,delta_lcc_pp_vs_baseline_post,delta_eff_pp_vs_baseline_post,delta_diameter_vs_baseline_post
baseline,0,0,0,50,4203,8591,99.88103735427076,0.03269994670942731,77,4153,8075,98.50710329882013,0.026976581348533108,84,0.9862442952952382,0.8249732511263033,7,0.0,0.0,0
proteccion_hubs,0,0,10,50,4203,8591,99.88103735427076,0.03269994670942731,77,4153,8150,99.30170960751265,0.0279845949558608,97,0.9941998224877933,0.8557994055627287,20,0.7946063086925221,0.10080136073276902,13
refuerzo_periferico,120,0,0,50,4203,8711,99.88103735427076,0.039640167831518955,53,4153,8195,98.50710329882013,0.03509020365004209,53,0.9862442952952382,0.8852183421418547,0,0.0,0.8113622301508981,-31
recableado_bypass,200,0,0,50,4203,8791,99.88103735427076,0.03335869400027288,77,4153,8185,98.82013002648688,0.02657880186438387,84,0.9893782908559416,0.7967578666049231,7,0.31302672766675244,-0.039777948414923894,0
