scenario,threshold_m,clique_scope,nodes,edges,density,components,lcc_size,lcc_ratio,avg_degree,transitivity
P_route_threshold_75m,75,route_id,5084,517964,0.04008703360563969,3,5077,0.9986231313926043,203.76239181746655,0.414042201743271
P_trip_threshold_75m,75,trip_id,5084,409923,0.031725365231415004,3,5077,0.9986231313926043,161.26003147128245,0.37655241081969726
P_route_threshold_100m,100,route_id,4203,385225,0.04362435526039683,2,4198,0.9988103735427076,183.3095408041875,0.40852326712204623
P_trip_threshold_100m,100,trip_id,4203,325855,0.03690106894250531,2,4198,0.9988103735427076,155.05829169640734,0.3789573654955079
P_route_threshold_125m,125,route_id,3360,269642,0.04778243241327493,2,3355,0.9985119047619048,160.5011904761905,0.4028053754187166
P_trip_threshold_125m,125,trip_id,3360,239093,0.042368937750747813,2,3355,0.9985119047619048,142.3172619047619,0.37985063964344234
P_route_threshold_150m,150,route_id,2676,182926,0.05110878281156141,2,2671,0.9981315396113603,136.71599402092676,0.40039137265997454
P_trip_threshold_150m,150,trip_id,2676,166955,0.0466465501585572,2,2671,0.9981315396113603,124.77952167414051,0.38215377196270023
