run_id,seed,nodes_removed,lcc_size_ratio,global_efficiency_ratio
1,42,0,1.0,1.0
1,42,1,0.9997617913292044,0.9608081662060127
1,42,2,0.9995235826584088,0.9864269684724429
1,42,3,0.9992853739876132,0.9748610953269579
1,42,4,0.9990471653168176,1.0014118163860652
1,42,5,0.9988089566460219,0.9327524069445889
1,42,6,0.9985707479752263,0.9579366698422344
1,42,7,0.9983325393044307,0.9553929105390223
1,42,8,0.9980943306336351,0.9284238249847242
1,42,9,0.9978561219628395,0.9695526594224467
1,42,10,0.9976179132920439,0.9861477746878401
1,42,11,0.9973797046212483,0.9587955103487226
1,42,12,0.9971414959504526,0.9466319125172248
1,42,13,0.9969032872796569,0.9522446389976053
1,42,14,0.9966650786088613,0.9835787599699234
1,42,15,0.9964268699380657,1.0009770123972486
1,42,16,0.9961886612672701,0.9516038668571783
1,42,17,0.9959504525964745,0.9502248993070447
1,42,18,0.9957122439256789,0.9922661420173217
1,42,19,0.9954740352548833,0.9582045023575679
1,42,20,0.9952358265840877,0.9847373697602055
1,42,21,0.994997617913292,0.9397763854097944
1,42,22,0.9947594092424964,0.9571965031550437
1,42,23,0.9945212005717008,0.9492496100023959
1,42,24,0.9942829919009052,0.9321793954111073
1,42,25,0.9940447832301096,0.950389367266311
1,42,26,0.993806574559314,0.9383165271123826
1,42,27,0.9935683658885184,0.9532804217615254
1,42,28,0.9933301572177228,0.9661474167471964
1,42,29,0.9930919485469271,0.9621751488755819
1,42,30,0.9928537398761315,0.9861408156873589
1,42,31,0.9926155312053359,0.9090114013066901
1,42,32,0.9923773225345403,0.9974176036273193
1,42,33,0.9921391138637446,0.9379728131666232
1,42,34,0.991900905192949,0.9846800530005465
1,42,35,0.9916626965221534,0.9566128251599733
1,42,36,0.9914244878513578,0.9322922746124767
1,42,37,0.9911862791805621,0.9545881589685423
1,42,38,0.9909480705097665,0.9749619712569226
1,42,39,0.9907098618389709,0.9630033804170396
1,42,40,0.9904716531681753,0.9308839927721755
1,42,41,0.9902334444973797,0.9524137110408146
1,42,42,0.9899952358265841,0.9379626634685936
1,42,43,0.9897570271557885,0.9325244950340114
1,42,44,0.9895188184849929,0.9708524281075708
1,42,45,0.9892806098141972,0.9280291457119872
1,42,46,0.9890424011434016,0.9662883869814396
1,42,47,0.988804192472606,0.9769005753212295
1,42,48,0.9885659838018104,0.9516211346904588
1,42,49,0.9883277751310148,0.9564451523562212
1,42,50,0.9880895664602192,0.9720588924581395
2,43,0,1.0,1.0
2,43,1,0.9997617913292044,1.0136044615040238
2,43,2,0.9995235826584088,1.0285512312078962
2,43,3,0.9992853739876132,1.0411056255691107
2,43,4,0.9990471653168176,0.9804279790206482
2,43,5,0.9988089566460219,0.9746402545109263
2,43,6,0.9985707479752263,0.995229130438679
2,43,7,0.9983325393044307,0.9769567160073183
2,43,8,0.9980943306336351,0.9973504961110536
2,43,9,0.9978561219628395,1.0040952399004037
2,43,10,0.9976179132920439,0.9994258104347944
2,43,11,0.9973797046212483,0.9976631412349165
2,43,12,0.9971414959504526,0.971271539876161
2,43,13,0.9969032872796569,1.0087123263349949
2,43,14,0.9966650786088613,1.0143317263466323
2,43,15,0.9964268699380657,0.9672825175490919
2,43,16,0.9961886612672701,0.979110321208905
2,43,17,0.9959504525964745,1.008373469372753
2,43,18,0.9957122439256789,1.0005480852448445
2,43,19,0.9954740352548833,1.022873192877596
2,43,20,0.9952358265840877,1.0004048190633694
2,43,21,0.994997617913292,0.9711782432882667
2,43,22,0.9947594092424964,0.9971330756148862
2,43,23,0.9945212005717008,0.9653341360473406
2,43,24,0.9942829919009052,1.00968647380225
2,43,25,0.9940447832301096,0.9743493134819717
2,43,26,0.993806574559314,0.9994491643513085
2,43,27,0.9935683658885184,1.0120906734151482
2,43,28,0.9933301572177228,0.9937706032027233
2,43,29,0.9930919485469271,0.9930495185838306
2,43,30,0.9928537398761315,0.9479020963506848
2,43,31,0.9926155312053359,1.0188171747675276
2,43,32,0.9923773225345403,0.9877922326019509
2,43,33,0.9921391138637446,1.0018396311630346
2,43,34,0.991900905192949,0.9852055711666674
2,43,35,0.9916626965221534,0.9600325656006504
2,43,36,0.9914244878513578,1.0137375010333969
2,43,37,0.9911862791805621,1.0086888922442043
2,43,38,0.9909480705097665,0.998136247049098
2,43,39,0.9907098618389709,0.9635380123363514
2,43,40,0.9904716531681753,0.9894671767925216
2,43,41,0.9902334444973797,0.9648172764859341
2,43,42,0.9899952358265841,0.966804095285593
2,43,43,0.9897570271557885,0.9811985357599612
2,43,44,0.9895188184849929,0.9658354030704672
2,43,45,0.9892806098141972,1.0023338129601473
2,43,46,0.9890424011434016,0.9990467800714127
2,43,47,0.988804192472606,0.9789929019830732
2,43,48,0.9885659838018104,0.9825811539266068
2,43,49,0.9883277751310148,1.0050816118466865
2,43,50,0.9880895664602192,1.0087690949398778
3,44,0,1.0,1.0
3,44,1,0.9997617913292044,1.0170931235471568
3,44,2,0.9995235826584088,1.0103376605581809
3,44,3,0.9992853739876132,0.969282328949079
3,44,4,0.9990471653168176,0.9635929801678348
