nodes_removed,repetitions,lcc_size_ratio_mean,lcc_size_ratio_std,global_efficiency_ratio_mean,global_efficiency_ratio_std,lcc_size_ratio_q05,lcc_size_ratio_q95,global_efficiency_ratio_q05,global_efficiency_ratio_q95
0,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1,10,0.9997617913292045,0.0,0.9943439808375976,0.024498796744088325,0.9997617913292044,0.9997617913292044,0.9591731993253645,1.0284880139291934
2,10,0.9995235826584088,0.0,0.9934497226220778,0.027897325303992224,0.9995235826584088,0.9995235826584088,0.9531024249353618,1.0276040024392759
3,10,0.9992853739876132,0.0,0.9878061385665753,0.030741305395064342,0.9992853739876132,0.9992853739876132,0.9483677455725028,1.0344394970532007
4,10,0.9990471653168175,0.0,0.9858468032884629,0.020749474930547466,0.9990471653168176,0.9990471653168176,0.9566405941423733,1.012732583337101
5,10,0.9988089566460218,0.0,0.9750199738911418,0.022970679935347384,0.9988089566460219,0.9988089566460219,0.9397151113997214,1.003843910833107
6,10,0.9985707479752263,0.0,0.978374303709769,0.017691240413419726,0.9985707479752263,0.9985707479752263,0.9529325127131214,0.9976069534195174
7,10,0.9983325393044307,0.0,0.9751305009371223,0.018434279572080454,0.9983325393044307,0.9983325393044307,0.9483478051384974,1.002869285786158
8,10,0.998094330633635,0.0,0.9808294592901492,0.024045752537374763,0.9980943306336351,0.9980943306336351,0.947634639237059,1.0109401052736888
9,10,0.9978561219628395,0.0,0.9811456711190099,0.02062999295139415,0.9978561219628395,0.9978561219628395,0.955427606098744,1.004201627287631
10,10,0.997617913292044,0.0,0.9819957895902371,0.01799729779519638,0.9976179132920439,0.9976179132920439,0.9592498054220905,1.009779936752751
11,10,0.9973797046212483,0.0,0.9760171103626654,0.014461105673349439,0.9973797046212483,0.9973797046212483,0.9595072691334051,0.9980767736799324
12,10,0.9971414959504526,0.0,0.9741723349885184,0.024639848472248066,0.9971414959504526,0.9971414959504526,0.9389881527030861,1.0025770026733065
13,10,0.9968556455454978,0.0001506563916230602,0.9747122341403062,0.024652032102353158,0.9966412577417818,0.9969032872796569,0.9435312176782676,1.005701046195712
14,10,0.9966174368747023,0.0001506563916230602,0.9835817652137099,0.027090381018389818,0.9964030490709862,0.9966650786088613,0.9455466167414419,1.0159187045204576
15,10,0.9963792282039066,0.0001506563916230602,0.9688240242730062,0.020235638526455324,0.9961648404001906,0.9964268699380657,0.940986688644488,0.9998542315464976
