nodes_removed,lcc_size_ratio,global_efficiency_ratio
0,1.0,1.0
1,0.9997617913292044,0.9988293348005591
2,0.9995235826584088,0.9986367463566519
3,0.9992853739876132,0.9969273022666564
4,0.9990471653168176,0.9966916189862873
5,0.9988089566460219,0.9960532485658302
6,0.9985707479752263,0.9946107061751315
7,0.9978561219628395,0.9913511786374911
8,0.9976179132920439,0.9911499514368463
9,0.9973797046212483,0.9898312718254172
10,0.9971414959504526,0.987271689653325
11,0.9966650786088613,0.9856083510519371
12,0.9964268699380657,0.9840545959571185
13,0.9961886612672701,0.9835459878901804
14,0.9959504525964745,0.9833178636259738
15,0.9957122439256789,0.9830912185989836
16,0.9954740352548833,0.9829461731032986
17,0.9952358265840877,0.9826974319638916
18,0.994997617913292,0.9824384709610511
19,0.9947594092424964,0.98230363707552
20,0.9945212005717008,0.982029868604687
21,0.9942829919009052,0.981886202616044
22,0.9940447832301096,0.9815829571939204
23,0.993806574559314,0.9811068730203538
24,0.9935683658885184,0.9802679182505742
25,0.9933301572177228,0.9801302761185855
26,0.9930919485469271,0.9799941872472895
27,0.9928537398761315,0.9798581124662376
28,0.9926155312053359,0.9797220518422917
29,0.9923773225345403,0.9795860054426552
30,0.9921391138637446,0.9792721685412209
31,0.991900905192949,0.9785814729438792
32,0.9916626965221534,0.9783209055295726
33,0.9914244878513578,0.9780404586711948
34,0.9911862791805621,0.9778428689243813
35,0.9909480705097665,0.9776394965983461
36,0.9907098618389709,0.9769881740563545
37,0.9904716531681753,0.9768564227933617
38,0.9902334444973797,0.976734203417295
39,0.9899952358265841,0.9766006215375475
40,0.9897570271557885,0.9763641893766104
41,0.9895188184849929,0.975993506357544
42,0.9892806098141972,0.9751832096713009
43,0.9890424011434016,0.9749658898265541
44,0.988804192472606,0.9745330297747093
45,0.9885659838018104,0.974374261670294
46,0.9883277751310148,0.9741766626453666
47,0.9880895664602192,0.974039305857016
48,0.9878513577894236,0.9739019634327885
49,0.987613149118628,0.9736977572387633
50,0.9873749404478323,0.9735681178127817
